steiner points
1080 2179
1080 2602
1073 2608
1073 3222
2552 3449
2749 2478
1073 3449
3020 1008
3655 1008
1709 3449
1709 5655
1002 6320
1002 7331
1222 7714
1002 6230
4796 1008
6183 1008
6758 1008
7251 1674
8592 1674
7251 2386
7330 2576
4951 5665
5253 5665
5659 5665
5659 6422
8973 4237
8349 4237
7330 3008
8317 4583
7330 5380
7433 6133
7433 6615
8131 6615
7330 5405
6656 6615
6163 7526
5101 8225
6163 8225
6479 8825
9128 8825
7297 8825
8788 8825
9336 8825
8788 9413
6163 6615
7330 4583
3020 1559
edges
66 5
57 22
50 35
69 20
67 30
65 14
58 4
97 24
69 41
50 18
70 1
55 23
71 48
51 31
52 9
78 8
53 49
56 38
54 19
76 3
77 25
76 15
79 28
72 29
80 42
84 32
74 43
60 34
73 12
72 0
81 16
64 33
61 47
75 27
83 11
83 7
85 26
62 40
86 36
63 13
63 37
90 39
87 6
91 17
93 2
89 10
87 45
93 46
94 44
94 21
51 50
52 51
53 52
56 53
55 54
97 55
59 56
97 57
57 58
54 59
59 60
64 61
61 62
62 63
60 64
58 65
65 66
66 67
67 68
68 69
68 70
70 71
73 72
74 73
75 74
95 75
77 76
79 77
71 78
96 79
96 80
84 81
81 82
82 83
80 84
82 85
95 86
88 87
86 88
88 89
92 90
89 91
91 92
90 93
92 94
85 95
78 96
